date,user,pc,to,cc,bcc,from,activity,size,attachments
2011-05-01 06:39:32,ABM3203,PC-8311,Michael-Kaden@juno.com,,,ABM64@hotmail.com,Send,45952,
2011-05-01 06:39:39,BMN3207,PC-9138,Alexa.May.Barker@dtaa.com;Thane.Erich.Cunningham@dtaa.com;Malik.Abbot.Cannon@dtaa.com,,,Bernard.Marsden.Nolan@dtaa.com,View,26093,
2011-05-01 06:39:59,ABM3203,PC-8311,Zelda.Hillary.Hurst@dtaa.com,Addison.Buckminster.Mccall@dtaa.com,,Willa.Jordan.Murphy@dtaa.com,View,1439790,C:\977kY59\1AGTO9L2.doc(174388);C:\WJM3209\G7LBEHFV.doc(1233213)
2011-05-01 06:40:00,ABM3203,PC-8311,Addison.Buckminster.Mccall@dtaa.com;Imani.Leigh.Hardy@dtaa.com,Thane.Erich.Cunningham@dtaa.com,,Chaney.Holmes.Underwood@dtaa.com,View,20351,
2011-05-01 06:40:32,ABM3203,PC-8311,Thane.E.Cunningham@msn.com,,,ABM64@hotmail.com,Send,1317516,C:\ABM3203\X2RKJFEB.doc(1263871)
2011-05-01 06:41:15,ABM3203,PC-8311,Addison.Buckminster.Mccall@dtaa.com;Thaddeus.Nigel.Velez@dtaa.com,,,Malik.Abbot.Cannon@dtaa.com,View,218853,C:\NH2XJZ55.pdf(193367)
2011-05-01 06:41:56,ABM3203,PC-8311,Addison.Buckminster.Mccall@dtaa.com;James.Travis.Rios@dtaa.com,Marsden.Hammett.Armstrong@dtaa.com,,Skyler.Illiana.Richard@dtaa.com,View,130308,C:\26spj21\FGWCUI8T.doc(109169)
2011-05-01 06:45:06,BMN3207,PC-9138,Sarah_H_Frederick@harris.com,Bernard.Marsden.Nolan@dtaa.com,,Bernard.Marsden.Nolan@dtaa.com,View,30238,
2011-05-01 06:47:38,ABM3203,PC-8311,Addison.Buckminster.Mccall@dtaa.com,,,Dolan.Philip.Foreman@dtaa.com,View,56309,C:\E4EA9THC.doc(20527)
2011-05-01 06:53:50,ABM3203,PC-8311,CHU387@charter.net,,,ABM64@hotmail.com,Send,2094654,C:\ABM3203\X8CIV63D.doc(503515);C:\VTNQB3Z9.doc(300996);C:\ABM3203\X2RKJFEB.doc(1263871)
2011-05-01 07:00:35,BMN3207,PC-9138,Bernard_Nolan@charter.net,,,Rios_James@comcast.net,View,25905,
2011-05-01 07:02:33,JLC0216,PC-3253,SMH51@earthlink.net,Casey-Jonathan@gmail.com,,Amethyst_J_Christensen@sbcglobal.net,View,34944,
2011-05-01 07:02:41,JLC0216,PC-3253,Geoffrey.Rahim.Griffin@dtaa.com;Montana.Amaya.Powers@dtaa.com;Sonya.Unity.Griffith@dtaa.com,Riley.Jorden.Hoover@dtaa.com;Latifah.Germane.Schwartz@dtaa.com,Gisela.Ivana.Bolton@dtaa.com,Jonathan.Laith.Casey@dtaa.com,Send,24225,
