employee_name,user_id,email,role
Nicholas Fletcher Pruitt,NFP2441,Nicholas.Fletcher.Pruitt@dtaa.com,ITAdmin
Abraham Dante Rodgers,ADR1517,Abraham.Dante.Rodgers@dtaa.com,ProductionLineWorker
Medge Wilma Blackburn,MWB4000,Medge.Wilma.Blackburn@dtaa.com,ProductionLineWorker
Meghan Laurel Salazar,MLS2856,Meghan.Laurel.Salazar@dtaa.com,ProductionLineWorker
Beau Todd Romero,BTR2026,Beau.Todd.Romero@dtaa.com,MechanicalEngineer
Zephania Chaim Terry,ZCT1009,Zephania.Chaim.Terry@dtaa.com,Manager
Sierra Emily Mendez,SEM1983,Sierra.Emily.Mendez@dtaa.com,MaterialsEngineer
Bell Daria White,BDW1459,Bell.Daria.White@dtaa.com,ComputerScientist
Fulton August Jackson,FAJ3101,Fulton.August.Jackson@dtaa.com,SystemsEngineer
Carl Louis Rice,CLR1239,Carl.Louis.Rice@dtaa.com,HardwareEngineer
Lucius Orlando Patton,LOP1708,Lucius.Orlando.Patton@dtaa.com,Manager
Garth Kenyon Kirkland,GKK2422,Garth.Kenyon.Kirkland@dtaa.com,SecurityGuard
Micah Yoshio Bass,MYB3817,Micah.Yoshio.Bass@dtaa.com,Technician
James Bradley Osborn,JBO2839,James.Bradley.Osborn@dtaa.com,StockroomClerk
Jeanette Tallulah Carroll,JTC0941,Jeanette.Tallulah.Carroll@dtaa.com,Technician
Iona Kendall Allison,IKA2925,Iona.Kendall.Allison@dtaa.com,Technician
Josiah Sloane Neal,JSN1905,Josiah.Sloane.Neal@dtaa.com,Scientist
Jeanette Rhona Levine,JRL2365,Jeanette.Rhona.Levine@dtaa.com,Technician
Grant Jin Baird,GJB0850,Grant.Jin.Baird@dtaa.com,StockroomClerk
Lana Myra Davidson,LMD2804,Lana.Myra.Davidson@dtaa.com,ProductionLineWorker
Kai Melissa Bradford,KMB3003,Kai.Melissa.Bradford@dtaa.com,ChiefEngineer
Leila Whilemina Valdez,LWV1525,Leila.Whilemina.Valdez@dtaa.com,ProductionLineWorker
Rebecca Blythe Booker,RBB3867,Rebecca.Blythe.Booker@dtaa.com,Mathematician
Aiko Rebecca Frost,ARF0575,Aiko.Rebecca.Frost@dtaa.com,HardwareEngineer
Wyoming Sage Clay,WSC2981,Wyoming.Sage.Clay@dtaa.com,Technician
Hilda Kellie Townsend,HKT1778,Hilda.Kellie.Townsend@dtaa.com,Scientist
Meredith Anne Solomon,MAS3218,Meredith.Anne.Solomon@dtaa.com,ElectricalEngineer
Margaret Jennifer Gallagher,MJG2304,Margaret.Jennifer.Gallagher@dtaa.com,Technician
Charissa Christine Hatfield,CCH1508,Charissa.Christine.Hatfield@dtaa.com,ProductionLineWorker
Hedy Darryl Noble,HDN2609,Hedy.Darryl.Noble@dtaa.com,ElectricalEngineer
Fay Cheyenne Mcfadden,FCM3926,Fay.Cheyenne.Mcfadden@dtaa.com,StockroomClerk
Deborah Marcia Richards,DMR0336,Deborah.Marcia.Richards@dtaa.com,StockroomClerk
Xyla Alea Berg,XAB0936,Xyla.Alea.Berg@dtaa.com,Technician
Lucius Cole Buckley,LCB2041,Lucius.Cole.Buckley@dtaa.com,Physicist
Zahir Jakeem Boyd,ZJB0552,Zahir.Jakeem.Boyd@dtaa.com,ElectricalEngineer
Alea Kameko Phillips,AKP3573,Alea.Kameko.Phillips@dtaa.com,ElectricalEngineer
Jade Rebekah Austin,JRA0522,Jade.Rebekah.Austin@dtaa.com,TechnicalWriter
Rhea Lydia Stein,RLS1738,Rhea.Lydia.Stein@dtaa.com,FieldServiceEngineer
Cullen Walter Klein,CWK2870,Cullen.Walter.Klein@dtaa.com,ProductionLineWorker
Brynne Ramona Hendrix,BRH1107,Brynne.Ramona.Hendrix@dtaa.com,ElectricalEngineer
Thomas Edward Ferguson,TEF3555,Thomas.Edward.Ferguson@dtaa.com,Mathematician
Gillian Eliana Hill,GEH0420,Gillian.Eliana.Hill@dtaa.com,Technician
Vivien Carly Vaughan,VCV2521,Vivien.Carly.Vaughan@dtaa.com,ComputerScientist
Lisandra Jane Reid,LJR0253,Lisandra.Jane.Reid@dtaa.com,TechnicalWriter
Robert Peter Hull,RPH2326,Robert.Peter.Hull@dtaa.com,Salesman
Fitzgerald Justin Oliver,FJO1828,Fitzgerald.Justin.Oliver@dtaa.com,MechanicalEngineer
Janna Ima Gibbs,JIG1936,Janna.Ima.Gibbs@dtaa.com,WebDeveloper
Odette Aileen Slater,OAS0991,Odette.Aileen.Slater@dtaa.com,Manager
Caleb Rooney Thomas,CRT2273,Caleb.Rooney.Thomas@dtaa.com,Salesman
Karen Germane Rosa,KGR2815,Karen.Germane.Rosa@dtaa.com,ProductionLineWorker
Aurora Celeste Hogan,ACH1910,Aurora.Celeste.Hogan@dtaa.com,Mathematician
Whoopi Daryl Stevens,WDS2197,Whoopi.Daryl.Stevens@dtaa.com,ProductionLineWorker
Tobias James Meadows,TJM0328,Tobias.James.Meadows@dtaa.com,MechanicalEngineer
Jessamine Jena Stuart,JJS2973,Jessamine.Jena.Stuart@dtaa.com,Technician
Ulla Daryl Willis,UDW0487,Ulla.Daryl.Willis@dtaa.com,SoftwareQualityEngineer
Sydnee Hyacinth Bullock,SHB2106,Sydnee.Hyacinth.Bullock@dtaa.com,MaterialsEngineer
Phillip Cody Turner,PCT1234,Phillip.Cody.Turner@dtaa.com,ElectricalEngineer
Kirby Aiko Vaughan,KAV2926,Kirby.Aiko.Vaughan@dtaa.com,Technician
Alice Deborah Sawyer,ADS0763,Alice.Deborah.Sawyer@dtaa.com,WebDeveloper
Sade Kendall Guthrie,SKG1731,Sade.Kendall.Guthrie@dtaa.com,Supervisor
Imelda Sheila Jimenez,ISJ1479,Imelda.Sheila.Jimenez@dtaa.com,Technician
Charde Anika Gamble,CAG2236,Charde.Anika.Gamble@dtaa.com,ProductionLineWorker
Yvonne Kellie Walters,YKW3832,Yvonne.Kellie.Walters@dtaa.com,Manager
Asher Victor Campbell,AVC2328,Asher.Victor.Campbell@dtaa.com,Salesman
Chelsea Scarlet Price,CSP2186,Chelsea.Scarlet.Price@dtaa.com,ProductionLineWorker
Dominic Benjamin Gonzalez,DBG0477,Dominic.Benjamin.Gonzalez@dtaa.com,Physicist
